行业,行业细分,公司,涨跌幅,市值
科技,半导体,富满微,-0.28,17750841000.0
医疗保健,医疗器械,心脉医疗,-0.55,17749811000.0
工业,工业制品,机器人,-0.87,17708584000.0
基础材料,农业,利尔化学,-1.93,17677898000.0
非周期性消费,农副加工食品,三全食品,-0.4,17653910000.0
科技,硬件,德赛电池,0.89,17618541000.0
工业,工业制品,禾望电气,2.39,17595886000.0
医疗保健,医疗诊断和研究,万孚生物,1.49,17579995000.0
科技,硬件,海信视像,0.37,17572903000.0
工业,建筑,陕西建工,0.85,17559079000.0
周期性消费,汽车和配件,继峰股份,-2.93,17490695000.0
基础材料,金属与开采,楚江新材,0.69,17482327000.0
基础材料,钢铁和焦煤,杭钢股份,0.39,17358752000.0
周期性消费,非生活必需品零售商,力量钻石,-1.71,17356830000.0
科技,软件,中科星图,3.15,17338200000.0
医疗保健,医疗机构和服务,创业慧康,3.5,17323912000.0
金融服务,资本市场,华创阳安,-0.9,17308589000.0
基础材料,金属与开采,中钨高新,2.35,17299442000.0
工业,工业制品,汉缆股份,1.17,17299339000.0
基础材料,金属与开采,*ST中孚,3.04,17258772000.0
工业,商业服务,怡亚通,1.07,17217894000.0
基础材料,钢铁和焦煤,久立特材,0.63,17198328000.0
工业,工业制品,铂力特,2.14,17191571000.0
科技,硬件,华测导航,0.62,17178770000.0
公用事业,公共事业 - 管制,瀚蓝环境,0.77,17171209000.0
